movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1,star1_cnt,star2_cnt,star3_cnt,star4_cnt,star5_cnt,smooth_score,raw_avg
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,369408,1991,中国台湾,犯罪,57.7,31.9,8.7,1.2,0.5,184704,443290,3213850,11784115,21314842,4.497439695138761,445.1
2001太空漫游,https://movie.douban.com/subject/1292226/,396578,1968,英国 美国,科幻 惊悚 冒险,60.2,28.4,8.9,1.6,0.9,356920,634525,3529544,11262815,23873996,4.497439277495186,445.4
7号房的礼物,https://movie.douban.com/subject/10777687/,621275,2013,韩国,喜剧 家庭,57.4,33.5,8.0,0.8,0.3,186382,497020,4970200,20812712,35661185,4.497436720048787,446.9
可可西里,https://movie.douban.com/subject/1308857/,346781,2004,中国大陆 中国香港,犯罪,54.1,37.3,7.9,0.5,0.2,69356,173390,2739570,12934931,18760852,4.497435732339982,444.6
你看起来好像很好吃,https://movie.douban.com/subject/4848115/,376036,2010,日本,动画 儿童,55.1,35.1,8.9,0.7,0.2,75207,263225,3346720,13198864,20719584,4.49741827963283,444.20000000000005
幽灵公主,https://movie.douban.com/subject/1297359/,668272,1997,日本,动画 奇幻 冒险,56.6,34.5,8.2,0.6,0.2,133654,400963,5479830,23055384,37824195,4.4974154475251895,447.0
玩具总动员3,https://movie.douban.com/subject/1858711/,592282,2010,美国,喜剧 动画 奇幻 冒险,55.8,35.1,8.6,0.4,0.1,59228,236913,5093625,20789098,33049336,4.497414047000964,446.1
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,568513,2015,瑞典,未知,54.6,37.3,7.5,0.5,0.1,56851,284256,4263848,21205535,31040810,4.497409180094724,445.79999999999995
甜蜜蜜,https://movie.douban.com/subject/1305164/,671493,1996,中国香港,爱情,55.6,36.0,7.7,0.5,0.2,134299,335746,5170496,24173748,37335011,4.497405121530539,446.3
第六感,https://movie.douban.com/subject/1297630/,636336,1999,美国,悬疑 惊悚,54.9,37.0,7.5,0.5,0.1,63634,318168,4772520,23544432,34934846,4.4974047560320285,446.1
勇敢的心,https://movie.douban.com/subject/1294639/,605306,1995,美国,动作 传记  历史 战争,56.3,34.1,8.7,0.7,0.2,121061,423714,5266162,20640935,34078728,4.497393768158669,445.6
千年女优,https://movie.douban.com/subject/1307394/,318485,2001,日本,动画  爱情,53.8,35.3,9.6,0.9,0.3,95546,286636,3057456,11242520,17134493,4.497387809837276,441.1
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,627172,2010,日本,动画 奇幻 冒险,54.4,37.3,7.8,0.4,0.1,62717,250869,4891942,23393516,34118157,4.497384893143958,445.5
千钧一发,https://movie.douban.com/subject/1300117/,350747,1997,美国,科幻 惊悚,51.6,39.3,8.4,0.5,0.1,35075,175374,2946275,13784357,18098545,4.497380622202648,441.5
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,652434,2004,美国 法国,爱情,56.5,33.7,8.6,0.8,0.3,195730,521947,5610932,21987026,36862521,4.497376793541408,445.0
步履不停,https://movie.douban.com/subject/2222996/,328206,2008,日本,家庭,50.9,40.0,8.2,0.6,0.2,65641,196924,2691289,13128240,16705685,4.497371765646887,440.5
大红灯笼高高挂,https://movie.douban.com/subject/1293323/,372310,1991,中国大陆 中国香港 中国台湾,未知,50.6,41.3,7.5,0.5,0.2,74462,186155,2792325,15376403,18838886,4.497360094483791,441.9
魂断蓝桥,https://movie.douban.com/subject/1293964/,310924,1940,美国,爱情 战争,50.6,39.7,9.0,0.6,0.2,62185,186554,2798316,12343683,15732754,4.49735893733801,440.20000000000005
谍影重重3,https://movie.douban.com/subject/1578507/,471033,2007,美国 德国 法国 英国,动作 悬疑 惊悚,52.9,37.8,8.7,0.5,0.1,47103,235516,4097987,17805047,24917646,4.497352261498451,442.9
杀人回忆,https://movie.douban.com/subject/1300299/,834883,2003,韩国,动作 犯罪 悬疑 惊悚,55.0,36.8,7.4,0.6,0.2,166977,500930,6178134,30723694,45918565,4.497348452643505,445.79999999999995
爱在午夜降临前,https://movie.douban.com/subject/10808442/,473591,2013,美国 希腊,爱情,54.6,35.0,9.2,0.9,0.3,142077,426232,4357037,16575685,25858069,4.497345756923961,442.7
终结者2：审判日,https://movie.douban.com/subject/1291844/,386237,1991,美国 法国,动作 科幻,51.7,38.3,9.5,0.4,0.1,38624,154495,3669252,14792877,19968453,4.497345554829555,441.1
罗生门,https://movie.douban.com/subject/1291879/,358659,1950,日本,犯罪 悬疑,51.9,38.1,9.0,0.8,0.3,107598,286927,3227931,13664908,18614402,4.497343769664382,440.8
沉默的羔羊,https://movie.douban.com/subject/1293544/,1013170,1991,美国,犯罪 惊悚,54.9,37.0,7.5,0.4,0.1,101317,405268,7598775,37487290,55623033,4.497340098718253,445.9
西西里的美丽传说,https://movie.douban.com/subject/1292402/,1090358,2000,意大利 美国,战争 情色,55.4,36.4,7.4,0.5,0.2,218072,545179,8068649,39689031,60405833,4.497331307464403,446.0
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,497429,2003,美国,动作 科幻,54.3,35.0,9.7,0.8,0.2,99486,397943,4825061,17410015,27010395,4.497327387347708,442.4
