movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1
你的名字。,https://movie.douban.com/subject/26683290/,1592708,2016,日本,爱情 动画,43.5,38.7,15.8,1.6,0.4
机器人之梦,https://movie.douban.com/subject/35426925/,436585,2023,西班牙 法国,动画 音乐,61.8,31.0,6.4,0.6,0.2
我是山姆,https://movie.douban.com/subject/1306861/,376578,2001,美国,家庭,57.5,34.6,7.2,0.5,0.2
阳光姐妹淘,https://movie.douban.com/subject/4917726/,638604,2011,韩国,喜剧,51.1,38.0,9.8,0.8,0.2
恐怖直播,https://movie.douban.com/subject/21360417/,728382,2013,韩国,犯罪 悬疑,47.6,41.5,10.0,0.7,0.2
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,497429,2003,美国,动作 科幻,54.3,35.0,9.7,0.8,0.2
小丑,https://movie.douban.com/subject/27119724/,1125555,2019,美国 加拿大,犯罪 惊悚,51.0,37.3,10.0,1.1,0.6
末路狂花,https://movie.douban.com/subject/1291992/,347115,1991,美国 英国 法国,犯罪  惊悚,59.0,33.1,7.0,0.6,0.2
三块广告牌,https://movie.douban.com/subject/26611804/,920238,2017,英国 美国,犯罪,46.8,43.4,8.9,0.7,0.2
谍影重重3,https://movie.douban.com/subject/1578507/,471033,2007,美国 德国 法国 英国,动作 悬疑 惊悚,52.9,37.8,8.7,0.5,0.1
电锯惊魂,https://movie.douban.com/subject/1417598/,613198,2004,美国,悬疑 惊悚 恐怖,51.0,37.0,10.6,1.0,0.4
高山下的花环,https://movie.douban.com/subject/1422283/,158830,1984,中国大陆,战争,79.6,16.7,3.1,0.3,0.2
无间道2,https://movie.douban.com/subject/1307106/,567183,2003,中国香港,犯罪 惊悚,50.0,39.7,9.6,0.6,0.1
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,506060,2013,美国,传记 同性,50.4,41.6,7.5,0.4,0.1
疯狂原始人,https://movie.douban.com/subject/1907966/,921450,2013,美国,喜剧 动画 冒险,46.7,41.3,11.2,0.6,0.1
绿里奇迹,https://movie.douban.com/subject/1300374/,388403,1999,美国,犯罪  奇幻 悬疑,56.6,34.0,8.4,0.8,0.3
爱在午夜降临前,https://movie.douban.com/subject/10808442/,473591,2013,美国 希腊,爱情,54.6,35.0,9.2,0.9,0.3
疯狂的石头,https://movie.douban.com/subject/1862151/,926273,2006,中国大陆 中国香港,喜剧 犯罪,44.3,42.8,11.7,0.9,0.2
雨中曲,https://movie.douban.com/subject/1293460/,268870,1952,美国,喜剧 歌舞 爱情,63.4,30.2,5.9,0.4,0.2
2001太空漫游,https://movie.douban.com/subject/1292226/,396578,1968,英国 美国,科幻 惊悚 冒险,60.2,28.4,8.9,1.6,0.9
海街日记,https://movie.douban.com/subject/25895901/,521243,2015,日本,家庭,50.4,40.2,8.7,0.6,0.1
风之谷,https://movie.douban.com/subject/1291585/,393725,1984,日本,动画 奇幻 冒险,55.8,34.9,8.6,0.5,0.2
上帝之城,https://movie.douban.com/subject/1292208/,333535,2002,巴西 法国,犯罪,58.4,33.9,6.9,0.5,0.2
心迷宫,https://movie.douban.com/subject/25917973/,617778,2014,中国大陆,犯罪 悬疑,48.1,42.4,8.6,0.7,0.3
英雄本色,https://movie.douban.com/subject/1297574/,606393,1986,中国香港,动作 犯罪,44.5,43.5,11.4,0.5,0.1
记忆碎片,https://movie.douban.com/subject/1304447/,669122,2000,美国,犯罪  悬疑 惊悚,47.2,41.2,10.4,0.9,0.3
纵横四海,https://movie.douban.com/subject/1295409/,473836,1991,中国香港,喜剧 动作 犯罪,51.7,37.7,9.6,0.8,0.2
无敌破坏王,https://movie.douban.com/subject/6534248/,612358,2012,美国,喜剧 动画 奇幻 冒险,48.7,40.3,10.3,0.6,0.1
卢旺达饭店,https://movie.douban.com/subject/1291822/,367326,2004,英国 南非 意大利 美国,传记 历史 战争,54.1,38.3,7.0,0.5,0.2
东京教父,https://movie.douban.com/subject/1310177/,291372,2003,日本,喜剧 动画,59.6,32.9,6.8,0.5,0.2
小偷家族,https://movie.douban.com/subject/27622447/,895563,2018,日本,犯罪 家庭,45.1,44.7,9.4,0.7,0.2
恐怖游轮,https://movie.douban.com/subject/3011051/,990189,2009,英国 澳大利亚,科幻 悬疑 奇幻 惊悚,43.1,42.6,12.8,1.2,0.3
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,369408,1991,中国台湾,犯罪,57.7,31.9,8.7,1.2,0.5
冰川时代,https://movie.douban.com/subject/1291578/,686229,2002,美国,喜剧 动画 冒险,44.5,44.3,10.6,0.5,0.1
魔女宅急便,https://movie.douban.com/subject/1307811/,524928,1989,日本,动画 奇幻 冒险,48.1,41.7,9.7,0.4,0.1
芙蓉镇,https://movie.douban.com/subject/1297880/,190013,1987,中国大陆,爱情,69.5,26.1,4.0,0.3,0.2
忠犬八公物语,https://movie.douban.com/subject/1959195/,218804,1987,日本,未知,66.0,27.7,5.7,0.5,0.2
岁月神偷,https://movie.douban.com/subject/3792799/,612874,2010,中国香港 中国大陆,家庭,48.6,39.8,10.7,0.8,0.2
荒蛮故事,https://movie.douban.com/subject/24750126/,517983,2014,阿根廷 西班牙,喜剧 犯罪,48.1,41.9,9.1,0.7,0.2
遗愿清单,https://movie.douban.com/subject/1867345/,538803,2007,美国,冒险 喜剧,47.6,41.2,10.5,0.7,0.1
大佛普拉斯,https://movie.douban.com/subject/27059130/,554386,2017,中国台湾,喜剧,48.6,41.1,9.0,0.9,0.4
